,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
0,1,CHI,Derrick Rose,Memphis,13,672,21317,12230,2239,3646,.457,.316,.830,31.7,18.2,3.3,5.4,44.2,.099,1.4,18.2
1,2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9
2,3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
3,4,SEA,Russell Westbrook,UCLA,14,972,33797,22426,7187,8306,.438,.306,.788,34.8,23.1,7.4,8.5,106.3,.151,4.5,55.5
4,5,MEM,Kevin Love,UCLA,14,760,23861,13563,8287,1801,.441,.372,.830,31.4,17.8,10.9,2.4,84.9,.171,3.3,32.1
5,6,NYK,Danilo Gallinari,,13,687,20654,10797,3301,1347,.427,.383,.876,30.1,15.7,4.8,2.0,61.9,.144,1.9,20.3
6,7,LAC,Eric Gordon,Indiana,14,716,23305,11851,1742,2042,.427,.370,.810,32.5,16.6,2.4,2.9,35.5,.073,-0.5,8.9
7,8,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
8,9,CHA,D.J. Augustin,Texas,14,946,22329,9089,1763,3716,.412,.381,.867,23.6,9.6,1.9,3.9,47.3,.102,-0.6,7.8
9,10,NJN,Brook Lopez,Stanford,14,856,25922,14094,5359,1240,.494,.340,.796,30.3,16.5,6.3,1.4,70.9,.131,1.3,21.7
10,11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
11,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
12,13,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
13,14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
14,15,PHO,Robin Lopez,Stanford,14,914,20121,8014,4514,753,.536,.291,.745,22.0,8.8,4.9,0.8,48.6,.116,-1.0,4.9
15,16,PHI,Marreese Speights,Florida,10,705,10640,5592,2875,461,.459,.356,.797,15.1,7.9,4.1,0.7,25.8,.116,-2.2,-0.6
16,17,TOR,Roy Hibbert,Georgetown,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,-1.1,3.5
17,18,WAS,JaVale McGee,Nevada,14,775,13258,6152,4058,334,.574,.180,.599,17.1,7.9,5.2,0.4,39.8,.144,0.1,7.0
18,19,CLE,J.J. Hickson,NC State,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-1.8,0.5
19,20,CHA,Alexis Ajinça,,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.8,-0.8
20,21,NJN,Ryan Anderson,California,12,649,16769,8001,3413,586,.422,.380,.854,25.8,12.3,5.3,0.9,46.7,.134,1.0,12.8
21,22,ORL,Courtney Lee,Western Kentucky,12,811,21938,7765,2127,1353,.451,.388,.853,27.1,9.6,2.6,1.7,39.3,.086,-0.6,7.9
22,23,UTA,Kosta Koufos,Ohio State,11,686,11271,3913,3452,359,.534,.000,.582,16.4,5.7,5.0,0.5,28.3,.120,-1.3,2.0
23,24,SEA,Serge Ibaka,,13,860,24218,10644,6253,709,.513,.359,.759,28.2,12.4,7.3,0.8,71.0,.141,0.5,15.5
24,25,HOU,Nicolas Batum,,14,871,26968,9795,4531,3137,.437,.362,.839,31.0,11.2,5.2,3.6,61.1,.109,1.6,24.7
25,26,SAS,George Hill,IUPUI,14,839,23049,9158,2575,2637,.457,.383,.805,27.5,10.9,3.1,3.1,68.1,.142,1.3,19.0
26,27,NOH,Darrell Arthur,Kansas,9,503,8945,3282,1768,409,.444,.352,.765,17.8,6.5,3.5,0.8,12.3,.066,-2.2,-0.4
27,28,MEM,Donté Greene,Syracuse,4,253,4259,1541,600,183,.406,.304,.701,16.8,6.1,2.4,0.7,1.5,.017,-2.8,-0.9
28,29,DET,D.J. White,Indiana,6,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-2.1,0.0
29,30,BOS,J.R. Giddens,New Mexico,2,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027,-4.3,-0.1
32,31,MIN,Nikola Peković,,6,271,6744,3405,1807,199,.518,,.760,24.9,12.6,6.7,0.7,18.8,.134,-0.7,2.2
33,32,SEA,Walter Sharpe,UAB,1,8,20,8,3,0,.364,.000,.000,2.5,1.0,0.4,0.0,-0.1,-.131,-10.1,0.0
34,33,POR,Joey Dorsey,Memphis,4,130,1488,344,513,55,.534,.000,.375,11.4,2.6,3.9,0.4,2.9,.092,-2.7,-0.3
35,34,MIN,Mario Chalmers,Kansas,9,646,17245,5743,1585,2412,.417,.351,.793,26.7,8.9,2.5,3.7,32.3,.090,-0.6,5.9
36,35,LAC,DeAndre Jordan,Texas A&M,14,955,25877,8832,10012,919,.674,.083,.475,27.1,9.2,10.5,1.0,93.6,.174,1.3,21.8
37,36,POR,Ömer Aşık,,8,471,9216,2479,3362,280,.528,.000,.551,19.6,5.3,7.1,0.6,20.9,.109,-1.9,0.1
38,37,MIL,Luc Mbah a Moute,UCLA,12,689,16038,4380,2800,588,.454,.334,.659,23.3,6.4,4.1,0.9,26.0,.078,-1.5,2.0
39,38,CHA,Kyle Weaver,Washington State,3,73,1379,363,158,119,.441,.353,.736,18.9,5.0,2.2,1.6,1.5,.051,-1.1,0.3
40,39,CHI,Sonny Weems,Arkansas,4,183,3335,1189,402,257,.465,.283,.702,18.2,6.5,2.2,1.4,0.0,.001,-4.2,-1.8
41,40,NJN,Chris Douglas-Roberts,Memphis,6,222,4381,1571,472,254,.439,.329,.831,19.7,7.1,2.1,1.1,5.4,.059,-2.2,-0.2
42,41,IND,Nathan Jawai,,2,45,431,126,106,24,.435,.000,.684,9.6,2.8,2.4,0.5,0.2,.020,-4.4,-0.3
43,42,SAC,Sean Singletary,Virginia,1,37,303,90,35,29,.365,.400,.857,8.2,2.4,0.9,0.8,0.0,.006,-5.1,-0.2
44,43,SAC,Patrick Ewing,Georgetown,1,7,19,3,2,2,.000,.000,.750,2.7,0.4,0.3,0.3,-0.1,-.158,-9.1,0.0
45,44,UTA,Ante Tomić,,,,,,,,,,,,,,,,,,
46,45,SAS,Goran Dragić,,14,872,24326,12086,2684,4177,.462,.364,.767,27.9,13.9,3.1,4.8,56.2,.111,0.6,16.2
47,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
48,47,WAS,Henry Walker,Kansas State,5,181,3016,1079,401,153,.446,.369,.760,16.7,6.0,2.2,0.8,5.0,.079,-1.8,0.2
49,48,PHO,Malik Hairston,Oregon,2,62,472,149,77,29,.512,.167,.514,7.6,2.4,1.2,0.5,0.8,.086,-2.0,0.0
50,49,GSW,Richard Hendrix,Alabama,,,,,,,,,,,,,,,,,
51,50,SEA,DeVon Hardin,California,,,,,,,,,,,,,,,,,
52,51,DAL,Shan Foster,Vanderbilt,,,,,,,,,,,,,,,,,
53,52,MIA,Darnell Jackson,Kansas,3,138,1039,308,203,26,.449,.235,.644,7.5,2.2,1.5,0.2,1.3,.059,-5.2,-0.8
54,53,UTA,Tadija Dragićević,,,,,,,,,,,,,,,,,,
55,54,HOU,Maarty Leunen,Oregon,,,,,,,,,,,,,,,,,
56,55,POR,Mike Taylor,Iowa State,1,51,771,289,87,106,.412,.325,.691,15.1,5.7,1.7,2.1,-0.4,-.028,-5.2,-0.6
57,56,SEA,Sasha Kaun,Kansas,1,25,95,23,26,3,.529,,.455,3.8,0.9,1.0,0.1,0.2,.096,-2.8,0.0
58,57,SAS,James Gist,Maryland,,,,,,,,,,,,,,,,,
59,58,LAL,Joe Crawford,Kentucky,1,2,23,9,4,1,.300,.250,1.000,11.5,4.5,2.0,0.5,0.0,.037,-2.7,0.0
60,59,DET,Deron Washington,Virginia Tech,,,,,,,,,,,,,,,,,
61,60,BOS,Semih Erden,,2,69,928,262,190,29,.546,,.594,13.4,3.8,2.8,0.4,1.8,.094,-3.6,-0.4
62,1,LAC,Blake Griffin,Oklahoma,12,689,23311,14115,5829,2932,.494,.327,.696,33.8,20.5,8.5,4.3,78.0,.161,3.4,32.0
63,2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-2.7,-0.4
64,3,OKC,James Harden,Arizona State,13,903,31140,22587,5000,5980,.443,.363,.859,34.5,25.0,5.5,6.6,144.9,.223,6.8,69.4
65,4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1
66,5,MIN,Ricky Rubio,,11,661,20008,7333,2735,5014,.389,.326,.843,30.3,11.1,4.1,7.6,41.8,.100,0.6,13.0
67,6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.0,-1.9
68,7,GSW,Stephen Curry,Davidson,13,789,27077,19159,3652,5150,.475,.431,.907,34.3,24.3,4.6,6.5,116.7,.207,6.6,58.6
69,8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
70,9,TOR,DeMar DeRozan,USC,13,905,30892,18384,3962,3453,.462,.283,.835,34.1,20.3,4.4,3.8,78.3,.122,0.7,20.6
71,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
72,11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6
73,12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6
74,13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0
75,14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8
76,15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0
77,16,CHI,James Johnson,Wake Forest,13,703,14451,5510,2532,1488,.475,.305,.683,20.6,7.8,3.6,2.1,26.5,.088,0.6,9.5
78,17,PHI,Jrue Holiday,UCLA,13,796,26384,12754,3166,5072,.457,.358,.775,33.1,16.0,4.0,6.4,51.6,.094,1.4,22.5
79,18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6
80,19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,.444,.360,.844,26.8,12.2,2.4,5.6,52.4,.113,0.6,14.3
81,20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8
82,21,NOH,Darren Collison,UCLA,10,708,20796,8857,1885,3543,.471,.394,.853,29.4,12.5,2.7,5.0,49.9,.115,0.6,13.5
83,22,POR,Victor Claver,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.6,-0.4
84,23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,.454,.368,.678,20.3,7.9,4.0,1.1,19.6,.078,-0.8,3.5
85,24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8
86,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
87,26,CHI,Taj Gibson,USC,13,857,21269,7903,5307,857,.517,.214,.711,24.8,9.2,6.2,1.0,56.5,.127,-0.7,7.0
88,27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,.430,.358,.741,23.7,8.9,4.2,1.3,29.5,.104,0.0,6.7
89,28,MIN,Wayne Ellington,UNC,13,748,15718,6042,1598,836,.410,.382,.843,21.0,8.1,2.1,1.1,20.7,.063,-1.5,2.0
90,29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2
91,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.2,-0.6
94,31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-2.3,-0.2
95,32,WAS,Jermaine Taylor,Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014,-3.7,-0.3
96,33,POR,Dante Cunningham,Villanova,10,715,14875,4133,2676,506,.469,.345,.649,20.8,5.8,3.7,0.7,24.9,.080,-1.7,1.1
97,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,
98,35,DET,DaJuan Summers,Georgetown,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-.008,-5.8,-0.8
99,36,MEM,Sam Young,Pitt,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063,-2.1,-0.1
100,37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,-1.2,1.4
101,38,POR,Jon Brockman,Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113,-3.9,-0.8
102,39,DET,Jonas Jerebko,,9,635,11323,3919,2522,525,.457,.363,.770,17.8,6.2,4.0,0.8,25.8,.109,-1.0,2.9
103,40,CHA,Derrick Brown,Xavier,3,171,2554,895,413,119,.515,.317,.637,14.9,5.2,2.4,0.7,4.5,.085,-1.3,0.4
104,41,MIL,Jodie Meeks,Kentucky,10,539,12110,4988,1120,583,.420,.373,.879,22.5,9.3,2.1,1.1,24.3,.096,-0.6,4.2
105,42,LAL,Patrick Beverley,Arkansas,10,488,13456,4294,2084,1664,.416,.381,.760,27.6,8.8,4.3,3.4,32.0,.114,0.9,10.0
106,43,MIA,Marcus Thornton,LSU,8,483,11299,5750,1348,677,.425,.358,.830,23.4,11.9,2.8,1.4,20.0,.085,0.2,6.2
107,44,DET,Chase Budinger,Arizona,7,407,7998,3198,1240,473,.430,.352,.797,19.7,7.9,3.0,1.2,13.9,.083,-0.5,2.9
108,45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,.441,.288,.581,15.6,4.6,1.9,2.7,2.6,.063,-0.5,0.8
109,46,CLE,Danny Green,UNC,13,780,19948,6939,2716,1233,.422,.400,.806,25.6,8.9,3.5,1.6,48.1,.116,2.0,19.8
110,47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,
111,48,PHO,Taylor Griffin,Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-.039,-8.1,-0.1
112,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,
113,50,UTA,Goran Suton,Michigan State,,,,,,,,,,,,,,,,,
114,51,SAS,Jack McClinton,Miami (FL),,,,,,,,,,,,,,,,,
115,52,IND,A.J. Price,UConn,6,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058,-1.3,0.7
116,53,SAS,Nando De Colo,,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.7,0.5
117,54,CHA,Robert Vaden,UAB,,,,,,,,,,,,,,,,,
118,55,POR,Patty Mills,Saint Mary's,13,768,15531,6983,1289,1780,.430,.391,.858,20.2,9.1,1.7,2.3,34.4,.106,0.3,9.0
119,56,DAL,Ahman Nivins,Saint Joseph's,,,,,,,,,,,,,,,,,
120,57,PHO,Emir Preldžić,,,,,,,,,,,,,,,,,,
121,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016,-2.1,0.0
122,59,LAL,Chinemelu Elonu,Texas A&M,,,,,,,,,,,,,,,,,
123,60,MIA,Robert Dozier,Memphis,,,,,,,,,,,,,,,,,
124,1,WAS,John Wall,Kentucky,10,613,21833,11702,2612,5557,.431,.323,.779,35.6,19.1,4.3,9.1,44.1,.097,2.4,24.1
125,2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,.434,.294,.782,26.9,9.7,4.6,3.5,20.2,.051,-1.9,0.5
126,3,NJN,Derrick Favors,Georgia Tech,12,772,18899,8272,5532,838,.534,.205,.663,24.5,10.7,7.2,1.1,59.5,.151,0.9,13.7
127,4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2
128,5,SAC,DeMarcus Cousins,Kentucky,11,613,18878,12403,6422,1915,.459,.332,.737,30.8,20.2,10.5,3.1,45.3,.115,2.5,21.6
129,6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8
130,7,DET,Greg Monroe,Georgetown,9,632,17475,8326,5229,1354,.514,.059,.704,27.7,13.2,8.3,2.1,49.7,.136,1.4,15.2
131,8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,.420,.332,.746,24.9,7.5,6.0,1.2,27.6,.075,-0.6,6.4
132,9,UTA,Gordon Hayward,Butler,12,715,22298,11228,3225,2517,.454,.371,.826,31.2,15.7,4.5,3.5,59.5,.128,2.0,22.7
133,10,IND,Paul George,Fresno State,12,730,24525,14874,4697,2595,.436,.381,.848,33.6,20.4,6.4,3.6,76.5,.150,4.0,37.1
134,11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,.527,,.738,10.0,3.1,3.3,0.5,9.6,.135,0.1,1.8
135,12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-4.4,-1.7
136,13,TOR,Ed Davis,UNC,12,701,13651,4282,4584,533,.567,.000,.584,19.5,6.1,6.5,0.8,43.1,.151,-0.2,6.2
137,14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,.447,.369,.755,20.8,6.7,3.9,1.0,31.9,.102,-0.1,7.4
138,15,MIL,Larry Sanders,VCU,6,238,4635,1520,1345,174,.480,.000,.553,19.5,6.4,5.7,0.7,10.3,.107,-1.1,1.1
139,16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,.408,.402,.747,14.0,4.8,2.2,0.6,7.2,.065,-2.1,-0.1
140,17,CHI,Kevin Séraphin,,7,423,6430,2516,1462,246,.489,.000,.715,15.2,5.9,3.5,0.6,5.9,.044,-4.3,-3.6
141,18,OKC,Eric Bledsoe,Kentucky,12,731,20426,10090,2866,3427,.453,.336,.785,27.9,13.8,3.9,4.7,46.0,.108,1.6,18.5
142,19,BOS,Avery Bradley,Texas,12,624,17344,7037,1793,1078,.434,.364,.781,27.8,11.3,2.9,1.7,16.7,.046,-2.3,-1.5
143,20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.7,-0.8
144,21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.9,-0.2
145,22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-4.9,-1.1
146,23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,.515,.305,.636,20.4,6.9,5.5,1.1,26.2,.116,-0.5,4.2
147,24,ATL,Damion James,Texas,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-3.7,-0.3
148,25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-2.4,-0.1
149,26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,.423,.356,.746,15.6,4.5,1.8,0.7,9.7,.084,-1.8,0.3
150,27,NJN,Jordan Crawford,Xavier,6,281,6843,3432,703,883,.411,.317,.826,24.4,12.2,2.5,3.1,6.3,.044,-1.3,1.3
151,28,MEM,Greivis Vásquez,Maryland,7,401,9520,3591,1021,1935,.418,.349,.817,23.7,9.0,2.5,4.8,12.6,.064,-1.2,1.9
152,29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,.485,.000,.597,10.6,2.8,2.5,0.5,1.0,.093,-3.5,-0.2
153,30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020,-4.2,-0.3
156,31,NJN,Tibor Pleiß,,1,12,82,24,15,2,.440,.000,1.000,6.8,2.0,1.3,0.2,-0.1,-.041,-11.6,-0.2
157,32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,.450,,.545,6.9,2.3,1.8,0.2,0.5,.068,-7.7,-0.5
158,33,SAC,Hassan Whiteside,Marshall,10,471,11874,6107,5200,308,.582,.308,.607,25.2,13.0,11.0,0.7,48.2,.195,2.5,13.5
159,34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-.015,-4.1,-0.2
160,35,WAS,Nemanja Bjelica,,7,406,8429,3163,1865,711,.466,.388,.758,20.8,7.8,4.6,1.8,18.3,.104,0.2,4.7
161,36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,,,,
162,37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-.225,-13.0,-0.1
163,38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-.314,-13.2,-0.1
164,39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.3,2.6
165,40,IND,Lance Stephenson,Cincinnati,9,508,11866,4354,2124,1456,.444,.315,.685,23.4,8.6,4.2,2.9,16.7,.068,-1.2,2.5
166,41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,.582,,.518,10.7,2.9,1.9,0.4,0.7,.089,-3.3,-0.1
167,42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,
168,43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.8,-0.5
169,44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,-1.0,0.1
170,45,MIN,Paulão Prestes,,,,,,,,,,,,,,,,,,
171,46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-.009,-15.0,0.0
172,47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,
173,48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,
174,49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,
175,50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-4.4,-0.1
176,51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,
177,52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.5,-0.3
178,53,ATL,Pape Sy,,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-.047,-6.0,0.0
179,54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-2.7,0.0
180,55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,.569,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,0.9,1.9
181,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013,-7.3,-0.2
182,57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142,-2.0,0.0
183,58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057,-7.1,-0.3
184,59,ORL,Stanley Robinson,UConn,,,,,,,,,,,,,,,,,
185,60,PHO,Dwayne Collins,Miami (FL),,,,,,,,,,,,,,,,,
186,1,CLE,Kyrie Irving,Duke,10,582,19713,13293,2212,3336,.470,.391,.881,33.9,22.8,3.8,5.7,68.7,.167,4.6,32.7
187,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
